cycle,inferences,correct_unique,latency_mean_ms,latency_median_ms,latency_std_sample_ms,latency_p95_ms,latency_min_ms,latency_max_ms,cycle_duration_s,throughput_fps
265,30,29,0.16795496666666665,0.163828,0.025466356021206695,0.1969695499999999,0.149984,0.28936,0.008032844,3734.6673233041743
266,30,29,0.16087586666666664,0.1588295,0.008543404989182908,0.17122079999999998,0.151541,0.196824,0.007684262,3904.0834370301272
267,30,29,0.16179303333333336,0.1581245,0.013783250153427311,0.17913684999999996,0.150026,0.223302,0.007823007,3834.842535613224
268,30,29,0.17572756666666667,0.162932,0.030025622701267168,0.23590994999999992,0.150401,0.254891,0.008332759,3600.2481291010577
269,30,29,0.15989799999999998,0.1573245,0.015631472975356813,0.19317659999999995,0.143713,0.207851,0.007837982,3827.5158070023635
270,30,29,0.15358796666666666,0.15325,0.0065585521766639175,0.16220415,0.146172,0.178268,0.007597881,3948.469316642364
271,30,29,0.15747133333333335,0.154037,0.01275406329934418,0.18081084999999997,0.146293,0.205793,0.00774696,3872.4867560952944
272,30,29,0.18059016666666666,0.16200399999999998,0.03610945287172602,0.25108329999999995,0.14877,0.259042,0.008727815,3437.2864227759183
273,30,29,0.1658624,0.155267,0.03362505109812808,0.2401741499999999,0.146702,0.29585,0.008015975,3742.5266421115334
274,30,29,0.15724646666666667,0.154419,0.012214026975044982,0.17729984999999998,0.145865,0.207013,0.007637716,3927.8758204677943
275,30,29,0.1605482,0.156783,0.013713084268884127,0.19028839999999997,0.146705,0.2053,0.007801448,3845.4399747328957
276,30,29,0.16592459999999998,0.1537365,0.030623731990188537,0.2326723499999999,0.147064,0.274202,0.008181256,3666.9186247197254
277,30,29,0.16524793333333332,0.154465,0.03963242129693153,0.20174639999999994,0.145655,0.361372,0.007938723,3778.9453039235655
278,30,29,0.16137823333333332,0.1527345,0.03136166736713988,0.22049689999999977,0.146071,0.290939,0.007747267,3872.333301537174
279,30,29,0.15916566666666668,0.153884,0.01358390527700752,0.18375125,0.14472,0.204959,0.007737745,3877.0985603686863
280,30,29,0.16344816666666667,0.15357700000000002,0.03879462483749016,0.20370579999999988,0.145575,0.353938,0.007873831,3810.0893961275015
281,30,29,0.1569496,0.1526315,0.01748502553339423,0.17270059999999995,0.144865,0.241502,0.007940966,3777.8779055344144
282,30,29,0.16571733333333336,0.1548385,0.028576329167908247,0.21590584999999998,0.148101,0.28516,0.008088194,3709.109845782631
283,30,29,0.1631833666666667,0.15996149999999998,0.012629710607663713,0.19075104999999995,0.149991,0.203009,0.007897188,3798.820542198059
284,30,29,0.16037543333333332,0.15732200000000002,0.011714970294996213,0.18146519999999997,0.149253,0.203979,0.007830157,3831.3408019788103
